Posting Date,Sender/Reciver,Account,Title,Amount,Currency,Type,Category
2021-04-13,Fresh Market,,Payment by card 12345,-11.0,USD,Card Payment,Groceries
2021-04-13,Anna Smith,3456789012,Own Transfer,-2000.0,USD,BLIK Payment,No Category
2021-04-13,Toyota,1111111111,Credit 4567,-597.0,USD,BLIK Payment,Credit/Loan Repayment
2021-04-12,Lidl,,Payment by card 12345,-61.89,USD,Card Payment,Groceries
2021-04-12,Hearts Bakery,,Payment by card 12345,-4.65,USD,Card Payment,Groceries
2021-04-12,Home Expert,7777777777,Rent,-400.71,USD,Transfer,Other
2021-04-12,Green Energy,5555555555,Electricity Bill,-83.63,USD,Transfer,Electricity
2021-04-12,Best Burgers,,Payment by card 12345,-59.0,USD,Card Payment,Restaurant and Cafes
2021-04-12,Ice Cream Factory,,Payment by card 12345,-20.0,USD,Card Payment,Groceries
2021-04-10,Orange,1234567890,,-76.56,USD,BLIK Payment,"Internet, TV, Telephone"
2021-04-10,VOD,,Payment by card 12345,-15.0,USD,Card Payment,"Internet, TV, Telephone"
2021-04-10,Gigi,,Payment by card 12345,-22.91,USD,Card Payment,Groceries
2021-04-10,Lidl,,Payment by card 12345,-107.18,USD,Card Payment,Groceries
2021-04-10,Prudential Insurance,6666666666,Insurance nr 123,-72.0,USD,Transfer,No Category
2021-04-09,Blue Media,,BLIK,-264.17,USD,BLIK Payment,No Category
2021-04-09,Auchan,,Payment by card 12345,-67.85,USD,Card Payment,Groceries
2021-04-09,Flowers and More,,Payment by card 12345,-69.1,USD,Card Payment,Garden
2021-04-09,Best Company Ever,9999999999,Salary,7885.19,USD,Transfer,Salary
2021-04-08,Hearts Bakery,,,-3.35,USD,Purchase,Groceries
2021-04-08,Sandra Wu,7654321098,Transfer,-5.0,USD,Transfer,No Category
2021-04-08,Fresh Market,,Payment by card 12345,-9.5,USD,Card Payment,Groceries
2021-04-07,Lidl,,Payment by card 12345,-127.35,USD,Card Payment,Groceries
2021-04-06,Auchan,,Payment by card 12345,-66.92,USD,Card Payment,Groceries
2021-04-06,Rossmann,,Payment by card 67890,-87.71,USD,Card Payment,Cosmetics
2021-04-06,PayU,9999999999,Order Return,300.0,USD,Transfer,Other
2021-04-06,Bus Station,,BLIK,-4.0,USD,BLIK Payment,No Category
2021-04-05,Fresh Market,,Payment by card 12345,-18.0,USD,Card Payment,Groceries
2021-04-03,Fresh Market,,Payment by card 12345,-24.55,USD,Card Payment,Groceries
2021-04-02,Car Wash,,,-15.0,USD,Purchase,"Car wash, inspections and repairs "
2021-04-02,Auchan,,Payment by card 12345,-82.08,USD,Card Payment,Groceries
2021-04-01,Highway Toll,,Payment by card 12345,-13.2,USD,Card Payment,Other
2021-04-01,Shell,,Payment by card 12345,-169.71,USD,Card Payment,Fuel
2021-04-01,Car Wash,,Payment by card 12345,-5.0,USD,Card Payment,"Car wash, inspections and repairs "
2021-04-01,Auchan,,Payment by card 67890,-64.91,USD,Card Payment,Groceries
2021-04-01,Fresh Market,,Payment by card 12345,-12.48,USD,Card Payment,Groceries
2021-04-01,Hearts Bakery,,Payment by card 12345,-2.85,USD,Card Payment,Groceries
2021-03-31,,9999999999,Interest on the Deposit,0.01,USD,Interest on the Deposit,"Interest, Return on Investment"
2021-03-31,,,Tax Collected,-0.01,USD,Tax Collected,Taxes
2021-03-31,Fresh Market,,Payment by card 12345,-12.0,USD,Card Payment,Groceries
2021-03-31,Auchan,,Payment by card 12345,-30.62,USD,Card Payment,Groceries
2021-03-31,Hearts Bakery,,Payment by card 12345,-5.95,USD,Card Payment,Groceries
2021-03-30,Gigi,,,-12.0,USD,Purchase,Groceries
2021-03-30,Auchan,,Payment by card 12345,-23.78,USD,Card Payment,Groceries
2021-03-30,Hearts Bakery,,Payment by card 12345,-4.51,USD,Card Payment,Groceries
2021-03-29,Pizza Napoli,,Payment by card 12345,-54.0,USD,Card Payment,Restaurant and Cafes
2021-03-29,ABC,,Payment by card 12345,-10.1,USD,Card Payment,Groceries
2021-03-29,Hearts Bakery,,Payment by card 12345,-3.66,USD,Card Payment,Groceries
2021-03-29,Lidl,,Payment by card 12345,-9.99,USD,Card Payment,Groceries
2021-03-29,Gigi,,Payment by card 12345,-10.0,USD,Card Payment,Groceries
2021-03-27,VOD,,Payment by card 12345,-14.99,USD,Card Payment,"Internet, TV, Telephone"
